Column,Description,Tag,Description,Answer Choices,Logic
178,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Arrogance / ego",QID316-4,Multiple Answer Choice Question ( up to 3),Arrogance / ego,
179,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Inaccessible (middlemen, protocols, etc.)",QID316-5,Multiple Answer Choice Question ( up to 3),"Inaccessible (middlemen, protocols, etc.)",
180,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Nothing",QID316-6,Multiple Answer Choice Question ( up to 3),Nothing,
181,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Other",QID316-7,Multiple Answer Choice Question ( up to 3),Other,
182,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-They sound like typical politicians",QID316-8,Multiple Answer Choice Question ( up to 3),They sound like typical politicians,
183,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Salaries and benefits",QID316-9,Multiple Answer Choice Question ( up to 3),Salaries and benefits,
184,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-They do not represent my society",QID316-12,Multiple Answer Choice Question ( up to 3),They do not represent my society,
185,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Insincerity / dishonesty",QID316-13,Multiple Answer Choice Question ( up to 3),Insincerity / dishonesty,
186,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Abuse of power / corruption",QID316-14,Multiple Answer Choice Question ( up to 3),Abuse of power / corruption,
187,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Lack of understanding of citizens",QID316-15,Multiple Answer Choice Question ( up to 3),Lack of understanding of citizens,
188,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Lack of accountability",QID316-17,Multiple Answer Choice Question ( up to 3),Lack of accountability,
189,Do you agree with the following statement? I trust the following institutions to be fair and honest.-Judiciary / courts,QID154-1,Matrix - Single Answer Choice,Judiciary / courts,
190,"Do you agree with the following statement? I trust the following institutions to be fair and honest.-International organisations (UN, World Bank,etc.)",QID154-2,Matrix - Single Answer Choice,"International organisations (UN, World Bank,etc.)",
191,Do you agree with the following statement? I trust the following institutions to be fair and honest.-News / media,QID154-3,Matrix - Single Answer Choice,News / media,
192,Do you agree with the following statement? I trust the following institutions to be fair and honest.-Multinational corporations,QID154-4,Matrix - Single Answer Choice,Multinational corporations,
193,Do you agree with the following statement? I trust the following institutions to be fair and honest.-Armed forces,QID154-5,Matrix - Single Answer Choice,Armed forces,
194,Do you agree with the following statement? I trust the following institutions to be fair and honest.-National governments,QID154-7,Matrix - Single Answer Choice,National governments,
195,Do you agree with the following statement? I trust the following institutions to be fair and honest.-Religious institutions,QID154-8,Matrix - Single Answer Choice,Religious institutions,
196,Do you agree with the following statement? I trust the following institutions to be fair and honest.-Your employer,QID154-10,Matrix - Single Answer Choice,Your employer,
197,Progress_55.png,QID352,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
198,Please share your thoughts on values in society today.  ,QID302,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
199,Do you agree with the following statement? I believe there should be no religious expression in p...-Strongly disagree:Strongly agree,QID172-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
200,I would welcome refugees to… (select all that apply)-My country,QID339-4,Multiple Answer Choice Question ( all that apply),My country,
201,I would welcome refugees to… (select all that apply)-My city,QID339-5,Multiple Answer Choice Question ( all that apply),My city,
202,I would welcome refugees to… (select all that apply)-My neighbourhood,QID339-6,Multiple Answer Choice Question ( all that apply),My neighbourhood,
203,I would welcome refugees to… (select all that apply)-My home,QID339-7,Multiple Answer Choice Question ( all that apply),My home,
204,I would welcome refugees to… (select all that apply)-I would not accept them in my country,QID339-8,Multiple Answer Choice Question ( all that apply),I would not accept them in my country,
205,How comfortable are you with women as...-Your manager,QID166-1,Matrix - Single Answer Choice,Your manager,
206,How comfortable are you with women as...-The CEO / managing director of your company,QID166-2,Matrix - Single Answer Choice,The CEO / managing director of your company,
207,How comfortable are you with women as...-President / prime minister of your country,QID166-3,Matrix - Single Answer Choice,President / prime minister of your country,
208,"When shopping, are you more likely to support local/national manufacturers and service providers...",QID170,Single Answer Choice,"Yes, No",
209,Why do you support local/national manufacturers and service providers instead of imported goods a...,QID278,Single Answer Choice,"The products / services are better in quality, The products / services are cheaper, It is better for the local economy / job creation, I am proud of consuming or using local products and services, It is better for the environment, Other (please elaborate)","Answer If When shopping, are you more likely to support local/national manufacturers and service providers... Yes Is Selected"
210,Why do you not support local/national manufacturers and service providers as opposed to imported...,QID286,Single Answer Choice,"The products / services are better in quality, The products / services are cheaper, It is better for the local economy / job creation, Social status, I don't have time to think about it, No local production, Global companies have responsible practices, I don't know how to actively support, Other (please elaborate)","Answer If When shopping, are you more likely to support local/national manufacturers and service providers... No Is Selected"
211,What are your top three (3) practices to stay healthy? (choose up to 3)-Avoid smoking / drinking alcohol,QID167-1,Multiple Answer Choice Question ( up to 3),Avoid smoking / drinking alcohol,
212,What are your top three (3) practices to stay healthy? (choose up to 3)-This is not important now / will worry later,QID167-2,Multiple Answer Choice Question ( up to 3),This is not important now / will worry later,
213,What are your top three (3) practices to stay healthy? (choose up to 3)-Healthy eating choices,QID167-3,Multiple Answer Choice Question ( up to 3),Healthy eating choices,
214,What are your top three (3) practices to stay healthy? (choose up to 3)-Exercise / physical activities / yoga,QID167-4,Multiple Answer Choice Question ( up to 3),Exercise / physical activities / yoga,
215,What are your top three (3) practices to stay healthy? (choose up to 3)-Meditation / mind relaxation,QID167-7,Multiple Answer Choice Question ( up to 3),Meditation / mind relaxation,
216,What are your top three (3) practices to stay healthy? (choose up to 3)-Periodic medical check up,QID167-8,Multiple Answer Choice Question ( up to 3),Periodic medical check up,
217,What are your top three (3) practices to stay healthy? (choose up to 3)-Maintain work / life balance,QID167-9,Multiple Answer Choice Question ( up to 3),Maintain work / life balance,
218,What are your top three (3) practices to stay healthy? (choose up to 3)-Cut off from social media / phone once in a while,QID167-10,Multiple Answer Choice Question ( up to 3),Cut off from social media / phone once in a while,
219,What are your top three (3) practices to stay healthy? (choose up to 3)-Other,QID167-12,Multiple Answer Choice Question ( up to 3),Other,
220,What are your top three (3) practices to stay healthy? (choose up to 3)-Keep my life simple / minimize activities,QID167-13,Multiple Answer Choice Question ( up to 3),Keep my life simple / minimize activities,
221,Progress_70.png,QID353,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
222,"Please share your views on the role of the private sector in your country, in society and in the...",QID301,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
223,"What is, according to you, the most important contribution that businesses make to society? (choo...",QID243,Single Answer Choice,"Create jobs, Boost the economy / attracting foreign investment, Bring better products / services, Improve livelihoods, Be a role model for the country / industry, Pay taxes, Developing human capital, None, Other",
224,What makes you trust a company? (choose up to 3)-Sense of purpose / social impact,QID242-1,Multiple Answer Choice Question ( up to 3),Sense of purpose / social impact,
225,What makes you trust a company? (choose up to 3)-Authenticity with employees,QID242-2,Multiple Answer Choice Question ( up to 3),Authenticity with employees,
226,What makes you trust a company? (choose up to 3)-Pays taxes,QID242-3,Multiple Answer Choice Question ( up to 3),Pays taxes,
227,What makes you trust a company? (choose up to 3)-Quality of the company's products,QID242-4,Multiple Answer Choice Question ( up to 3),Quality of the company's products,
228,What makes you trust a company? (choose up to 3)-Qualifications of the leadership team,QID242-5,Multiple Answer Choice Question ( up to 3),Qualifications of the leadership team,
229,What makes you trust a company? (choose up to 3)-Ethical communication and reporting,QID242-6,Multiple Answer Choice Question ( up to 3),Ethical communication and reporting,
230,What makes you trust a company? (choose up to 3)-Reputation in the media,QID242-7,Multiple Answer Choice Question ( up to 3),Reputation in the media,
231,What makes you trust a company? (choose up to 3)-Other,QID242-15,Multiple Answer Choice Question ( up to 3),Other,
232,"To what extent do you agree with the following statement? In my country, government regulations f...-Not at all:To a great extent",QID240-1,Single Answer Choice,"Not at all:To a great extent (1,2,3,4,5)",
233,Progress_75.png,QID354,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
234,"In your country, to what extent do businesses adopt the latest technologies?-Not at all:To a great extent",QID106-1,Single Answer Choice,"Not at all:To a great extent (1,2,3,4,5)",
235,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Young board members,QID239-1,Multiple Answer Choice Question ( up to 3),Young board members,
236,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Less control and more facilitation,QID239-2,Multiple Answer Choice Question ( up to 3),Less control and more facilitation,
237,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Flat structure without hierarchies,QID239-3,Multiple Answer Choice Question ( up to 3),Flat structure without hierarchies,
238,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Mentoring & reverse mentoring,QID239-4,Multiple Answer Choice Question ( up to 3),Mentoring & reverse mentoring,
239,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Self managed work schedules,QID239-5,Multiple Answer Choice Question ( up to 3),Self managed work schedules,
240,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Social media during work hours,QID239-6,Multiple Answer Choice Question ( up to 3),Social media during work hours,
241,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Allotting time for personal projects,QID239-7,Multiple Answer Choice Question ( up to 3),Allotting time for personal projects,
242,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Fun & cultural activities,QID239-8,Multiple Answer Choice Question ( up to 3),Fun & cultural activities,
243,"What can businesses do to create a youth friendly culture at the work place? (choose 3)-Training on sports, fitness, music, etc.",QID239-9,Multiple Answer Choice Question ( up to 3),"Training on sports, fitness, music, etc.",
244,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Ability to express opinions freely,QID239-10,Multiple Answer Choice Question ( up to 3),Ability to express opinions freely,
245,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Technology platforms for internal communications,QID239-11,Multiple Answer Choice Question ( up to 3),Technology platforms for internal communications,
246,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Opportunities to fail and learn,QID239-12,Multiple Answer Choice Question ( up to 3),Opportunities to fail and learn,
247,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Opportunities to contribute to vision and strategy,QID239-13,Multiple Answer Choice Question ( up to 3),Opportunities to contribute to vision and strategy,
248,What can businesses do to create a youth friendly culture at the work place? (choose 3)-Other,QID239-14,Multiple Answer Choice Question ( up to 3),Other,
249,How much do you agree with the following statement? My manager / supervisor usually knows more ab...-Strongly disagree:Strongly agree,QID368-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
250,What are the most important factors that contribute to gender equality in the workplace? (choose...-Gender balance in teams,QID241-11,Multiple Answer Choice Question ( up to 3),Gender balance in teams,
251,What are the most important factors that contribute to gender equality in the workplace? (choose...-Flexibility in working hours and location,QID241-12,Multiple Answer Choice Question ( up to 3),Flexibility in working hours and location,
252,What are the most important factors that contribute to gender equality in the workplace? (choose...-Female executives at the top of the organisation,QID241-13,Multiple Answer Choice Question ( up to 3),Female executives at the top of the organisation,
253,What are the most important factors that contribute to gender equality in the workplace? (choose...-Important jobs are open and assigned to both men and women ,QID241-14,Multiple Answer Choice Question ( up to 3),Important jobs are open and assigned to both men and women ,
254,What are the most important factors that contribute to gender equality in the workplace? (choose...-Development / growth opportunities reserved for women,QID241-15,Multiple Answer Choice Question ( up to 3),Development / growth opportunities reserved for women,
255,What are the most important factors that contribute to gender equality in the workplace? (choose...-Equal salaries for both men and women doing the same job,QID241-16,Multiple Answer Choice Question ( up to 3),Equal salaries for both men and women doing the same job,
256,What are the most important factors that contribute to gender equality in the workplace? (choose...-Clear rules and action against gender discrimination,QID241-17,Multiple Answer Choice Question ( up to 3),Clear rules and action against gender discrimination,
257,What are the most important factors that contribute to gender equality in the workplace? (choose...-Ensuring that all women are aware of the organisation’s policies for gender equality,QID241-18,Multiple Answer Choice Question ( up to 3),Ensuring that all women are aware of the organisation’s policies for gender equality,
258,What are the most important factors that contribute to gender equality in the workplace? (choose...-Safe ways for people to protest against gender inequality,QID241-19,Multiple Answer Choice Question ( up to 3),Safe ways for people to protest against gender inequality,
259,What are the most important factors that contribute to gender equality in the workplace? (choose...-Other,QID241-20,Multiple Answer Choice Question ( up to 3),Other,
260,"  Congratulations and thank you so much, you have reached the end of the main survey!   If you ha…",QID233,Single Answer Choice,"Answer more questions!, End the survey",
261,Thank you for participating in the Annual Survey! Please encourage more young people between 18 a...,QID211,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
262,Technology and Innovation   Deep dive into technology and modern life. ,QID331,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
263,"In my opinion, technology is ... (please choose one)",QID307,Single Answer Choice,"Creating jobs, Destroying jobs",
264,"According to you, what is the next big technology trend? (choose 1)",QID308,Single Answer Choice,"3D printing, Artificial intelligence / robotics, Internet of things, Drone, Machine learning, I don't know, Other",
265,"In your country, which sector do you think would benefit the most from the adoption of  the lates...",QID118,Single Answer Choice,"Education, Finance, Agriculture, Government, Healthcare, Infrastructure development, Basic industries (energy, mining, etc.), I don't know, Other",
266,What contributes to an innovative culture in the workplace? (choose up to 3)-A founder's passion,QID310-1,Multiple Answer Choice Question ( up to 3),A founder's passion,
267,What contributes to an innovative culture in the workplace? (choose up to 3)-Tolerance for failure / risk taking,QID310-3,Multiple Answer Choice Question ( up to 3),Tolerance for failure / risk taking,
268,What contributes to an innovative culture in the workplace? (choose up to 3)-Strong connection with the purpose,QID310-4,Multiple Answer Choice Question ( up to 3),Strong connection with the purpose,
269,What contributes to an innovative culture in the workplace? (choose up to 3)-Action learning programs (Hackathon),QID310-5,Multiple Answer Choice Question ( up to 3),Action learning programs (Hackathon),
270,What contributes to an innovative culture in the workplace? (choose up to 3)-Flatter heirarchies,QID310-6,Multiple Answer Choice Question ( up to 3),Flatter heirarchies,
271,What contributes to an innovative culture in the workplace? (choose up to 3)-Other,QID310-7,Multiple Answer Choice Question ( up to 3),Other,
272,What contributes to an innovative culture in the workplace? (choose up to 3)-In-house incubators / accelerators,QID310-8,Multiple Answer Choice Question ( up to 3),In-house incubators / accelerators,
273,What contributes to an innovative culture in the workplace? (choose up to 3)-Encouragement for personal projects,QID310-9,Multiple Answer Choice Question ( up to 3),Encouragement for personal projects,
274,What contributes to an innovative culture in the workplace? (choose up to 3)-I don't know,QID310-11,Multiple Answer Choice Question ( up to 3),I don't know,
275,How would you rate the importance of social media in your personal and professional life?-Personal life,QID119-1,Matrix - Single Answer Choice,"Personal life (Not important, Somewhat important, Neutral, Somewhat important, Extremely important)",
276,How would you rate the importance of social media in your personal and professional life?-Professional life,QID119-2,Matrix - Single Answer Choice,"Professional life (Not important, Somewhat important, Neutral, Somewhat important, Extremely important)",
277,"Social Media (Facebook, Twitter, etc.)...",QID124,Single Answer Choice,"Hinders my productivity, Improves my productivity, Does not affect my productivity",
278,"What makes, according to you, content trustworthy on the internet? (choose up to 3)-Certified websites",QID120-1,Multiple Answer Choice Question ( up to 3),Certified websites,
279,"What makes, according to you, content trustworthy on the internet? (choose up to 3)-Popularity (likes, shares, views in social media)",QID120-2,Multiple Answer Choice Question ( up to 3),"Popularity (likes, shares, views in social media)",
280,"What makes, according to you, content trustworthy on the internet? (choose up to 3)-Recommended by social circle",QID120-3,Multiple Answer Choice Question ( up to 3),Recommended by social circle,
281,"What makes, according to you, content trustworthy on the internet? (choose up to 3)-Reputation of the publisher",QID120-4,Multiple Answer Choice Question ( up to 3),Reputation of the publisher,
282,"What makes, according to you, content trustworthy on the internet? (choose up to 3)-Reputation of the content owner",QID120-5,Multiple Answer Choice Question ( up to 3),Reputation of the content owner,
283,"What makes, according to you, content trustworthy on the internet? (choose up to 3)-Shared by experts",QID120-7,Multiple Answer Choice Question ( up to 3),Shared by experts,
284,"What makes, according to you, content trustworthy on the internet? (choose up to 3)-I don't know",QID120-8,Multiple Answer Choice Question ( up to 3),I don't know,
285,"What makes, according to you, content trustworthy on the internet? (choose up to 3)-I never thought about it",QID120-9,Multiple Answer Choice Question ( up to 3),I never thought about it,
286,"What makes, according to you, content trustworthy on the internet? (choose up to 3)-Other",QID120-10,Multiple Answer Choice Question ( up to 3),Other,
287,Do you agree with the following statement? People who are not skilled in technology will find it...-Strongly Disagree:Strongly Agree,QID322-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
288,Do you agree with the following statement? Technology has helped to improve education and learnin...-Strongly Disagree:Strongly Agree,QID321-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
289,Have you ever taken an online course?,QID177,Single Answer Choice,"Yes, No",
290,"Do you think online learning is as strong as formal, traditional learning in a classroom?",QID178,Single Answer Choice,"Yes, No, I don't know",
291,You have reached the end of these optional questions. Thank you so much for your time! You can go...,QID268,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
292,Economic Progress and Youth    Deep dive into youth perspectives on how major socio-economic tren...,QID332,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
293,People in my country are...-Rather lazy:Hard working,QID293-1,Single Answer Choice,"Rather lazy:Hard working (1,2,3,4,5)",
294,Are cities the new economic growth engines?,QID295,Single Answer Choice,"Yes, No, I don't know",
295,How comfortable do you feel with borrowing money for the following...-College / education,QID311-1,Matrix - Single Answer Choice,College / education,
296,How comfortable do you feel with borrowing money for the following...-Buy a car / house,QID311-2,Matrix - Single Answer Choice,Buy a car / house,
297,How comfortable do you feel with borrowing money for the following...-Start a venture,QID311-3,Matrix - Single Answer Choice,Start a venture,
298,How comfortable do you feel with borrowing money for the following...-Pay your bills,QID311-4,Matrix - Single Answer Choice,Pay your bills,
299,How comfortable do you feel with borrowing money for the following...-Medical expenses,QID311-5,Matrix - Single Answer Choice,Medical expenses,
300,Do you agree with the following statement? Multinational companies are good for my country. -Strongly disagree:Strongly agree,QID149-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
301,"In your country, how easy is it for new entrepreneurs to obtain funding?-Extremely difficult:Extremely easy",QID292-1,Single Answer Choice,"Extremely difficult:Extremely easy (1,2,3,4,5)",
302,How much do you agree with the following statement? Internet connectivity is more important than...-Strongly disagree:Strongly agree,QID294-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
303,Do you agree with the following statement? Economic development is more important than environmen...-Strongly disagree:Strongly agree,QID288-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
304,"In your country, how well does the education system meet the needs of a competitive economy?-<div style=""text-align\: center;"">Not well<br /> / at all</div> / :<div style=""text-align\: center;"">Extremely<br /> / well</div> / ",QID290-1,Single Answer Choice,"Not well at all:Extremely (1,2,3,4,5)",
305,What is the one thing that motivates you the most to make a purchase?,QID312,Single Answer Choice,"Brand / company reputation, Friendliness of salesperson, Bargain (discount versus original), Recommendation by friends / family, Online reviews of the product, Quality of the product / service, How the product affects my social status, Price, Other",
306,What frustrates you the most when shopping online?,QID313,Single Answer Choice,"Not being able to touch and feel the product, Lack of user experience, Lack of variety, Payment mechanism, Poor internet connection, Fraudulent activities, Other",
307,You have reached the end of these optional questions. Thank you so much for your time! You can go...,QID269,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
308,Governance and Civic Engagement Deep dive on youth perceptions on governance and civic engagement ,QID333,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
309,"Rate your level of interest in the following political issues. For each, please select how import...-Military",QID153-1,Matrix - Single Answer Choice,Military,
310,"Rate your level of interest in the following political issues. For each, please select how import...-Economy",QID153-2,Matrix - Single Answer Choice,Economy,
311,"Rate your level of interest in the following political issues. For each, please select how import...-Social issues",QID153-3,Matrix - Single Answer Choice,Social issues,
312,"Rate your level of interest in the following political issues. For each, please select how import...-Immigration",QID153-4,Matrix - Single Answer Choice,Immigration,
313,"Rate your level of interest in the following political issues. For each, please select how import...-Environment",QID153-5,Matrix - Single Answer Choice,Environment,
314,Do you agree with the following statements? I have a full understanding of my rights and duties a...-Strongly disagree:Strongly agree,QID155-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
315,Do you agree with the following statement? My government fully protects my rights as a citizen.-Strongly Disagree:Strongly Agree,QID163-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
316,"In your country, how efficient is the government in providing public goods and services?-Very Bad / Inefficient:Very Good / Efficient",QID157-1,Single Answer Choice,"Very Bad / Inefficient:Very Good / Efficient (1,2,3,4,5)",
317,"In addressing the refugee crisis, what do you think governments should be doing?",QID161,Single Answer Choice,"Expel/Deport Refugees, Try to include refugees in the national workforce, Apply selective migration measures to refugees, Nothing, Other",
318,"In your country, how free is the Media / Press?-Not free at all:Completely Free",QID158-1,Single Answer Choice,Not free at all:Completely Free,
319,"Do you agree with the following statement? Services like health care, education and social securi...-Strongly Disagree:Strongly Agree",QID162-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
320,What are the most important ways that Government can demonstrate transparency and accountability?...-Make Government Salaries Public,QID164-1,Multiple Answer Choice Question ( up to 3),Make Government Salaries Public,
321,What are the most important ways that Government can demonstrate transparency and accountability?...-Being open to Protest / Criticism,QID164-2,Multiple Answer Choice Question ( up to 3),Being open to Protest / Criticism,
322,What are the most important ways that Government can demonstrate transparency and accountability?...-Open Government Practices,QID164-3,Multiple Answer Choice Question ( up to 3),Open Government Practices,
323,What are the most important ways that Government can demonstrate transparency and accountability?...-Other,QID164-4,Multiple Answer Choice Question ( up to 3),Other,
324,What are the most important ways that Government can demonstrate transparency and accountability?...-Regular updates on progress of public works (including infrastructure),QID164-5,Multiple Answer Choice Question ( up to 3),Regular updates on progress of public works (including infrastructure),
325,What are the most important ways that Government can demonstrate transparency and accountability?...-Open processes to select vendors and contractors,QID164-6,Multiple Answer Choice Question ( up to 3),Open processes to select vendors and contractors,
326,What are the most important ways that Government can demonstrate transparency and accountability?...-Visible penalties for poor governance by officials,QID164-7,Multiple Answer Choice Question ( up to 3),Visible penalties for poor governance by officials,
327,What are the most important ways that Government can demonstrate transparency and accountability?...-Give citizens a say with government budgets,QID164-8,Multiple Answer Choice Question ( up to 3),Give citizens a say with government budgets,
328,What are the most important ways that Government can demonstrate transparency and accountability?...-Regular & Open dialogue with citizens,QID164-9,Multiple Answer Choice Question ( up to 3),Regular & Open dialogue with citizens,
329,What are the most important ways that Government can demonstrate transparency and accountability?...-Explain the reasoning behind every government policy,QID164-10,Multiple Answer Choice Question ( up to 3),Explain the reasoning behind every government policy,
330,What are the most important ways that Government can demonstrate transparency and accountability?...-Change policy in response to public feedback,QID164-11,Multiple Answer Choice Question ( up to 3),Change policy in response to public feedback,
331,What are the most important ways that Government can demonstrate transparency and accountability?...-Protecting the Independence of the Courts / Judiciary,QID164-12,Multiple Answer Choice Question ( up to 3),Protecting the Independence of the Courts / Judiciary,
332,Do you agree with the following statement? A government needs to complete its full term in-spite...-Completely Disagree:Completely Agree,QID317-1,Single Answer Choice,"Completely Disagree:Completely Agree (1,2,3,4,5)",
333,"Is a uniform civil law, instead of religious law, important to maintain a fair and just society?-<div style=""text-align\: center;"">No - religious law is the<br /> / most important</div>:<div style=""text-align\: center;"">Yes, absolutely, it&nbsp;should completely<br /> / replace religious law</div> / ",QID318-1,Single Answer Choice,"No - religious law is the most important:Yes, absolutely, it&nbsp;should completely replace religious law (1,2,3,4,5)",
334,You have reached the end of these optional questions. Thank you so much for your time! You can go...,QID270,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
335,Values and Society  Deep dive into values are evolving in the modern era.   ,QID334,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
336,"At what age do you consider somebody ""old""?",QID320,Single Answer Choice,"Older than 20, Older than 25, Older than 30, Older than 40, Older than 50, Older than 60, Other",
337,How comfortable are you with your spouse or partner earning more money than you?-Very Uncomfortable:Very Comfortable,QID175-1,Single Answer Choice,"Very Uncomfortable:Very Comfortable (1,2,3,4,5)",
338,Do you agree with the following statement? Couples of the same-sex should be able to marry each o...-Strongly Disagree:Strongly Agree,QID174-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
339,"In your opinion, is it okay for a couple to have a child without being married?",QID359,Single Answer Choice,"Yes, No",
340,"If there is violent conflict in your country in the next 5 years, it will be because of...",QID182,Single Answer Choice,"Religion, Resources (e.g. water, land, energy), Political differences, Ethnic / tribal differences, Foreign intervention, Poverty / inequality, Refugees, I don't think there will be a violent conflict in my country, Other",
341,What are the most important things that are missing in your society that would make you feel more...-The ability to make my own life choices,QID183-1,Multiple Answer Choice Question ( up to 3),The ability to make my own life choices,
342,What are the most important things that are missing in your society that would make you feel more...-The ability to choose my leaders,QID183-4,Multiple Answer Choice Question ( up to 3),The ability to choose my leaders,
343,What are the most important things that are missing in your society that would make you feel more...-The ability to say what I think,QID183-5,Multiple Answer Choice Question ( up to 3),The ability to say what I think,
344,What are the most important things that are missing in your society that would make you feel more...-The ability to read anything,QID183-6,Multiple Answer Choice Question ( up to 3),The ability to read anything,
345,What are the most important things that are missing in your society that would make you feel more...-The ability to write anything,QID183-7,Multiple Answer Choice Question ( up to 3),The ability to write anything,
346,What are the most important things that are missing in your society that would make you feel more...-The ability to live and work anywhere,QID183-8,Multiple Answer Choice Question ( up to 3),The ability to live and work anywhere,
347,What are the most important things that are missing in your society that would make you feel more...-The ability to meet with anyone,QID183-9,Multiple Answer Choice Question ( up to 3),The ability to meet with anyone,
348,What are the most important things that are missing in your society that would make you feel more...-The ability to protest against authority,QID183-10,Multiple Answer Choice Question ( up to 3),The ability to protest against authority,
349,"What are the most important things that are missing in your society that would make you feel more...-The ability to follow any faith or religion, including no religion",QID183-11,Multiple Answer Choice Question ( up to 3),"The ability to follow any faith or religion, including no religion",
350,What are the most important things that are missing in your society that would make you feel more...-Nothing is missing in my society,QID183-13,Multiple Answer Choice Question ( up to 3),Nothing is missing in my society,
351,What are the most important things that are missing in your society that would make you feel more...-The ability to change the law / constitution,QID183-14,Multiple Answer Choice Question ( up to 3),The ability to change the law / constitution,
352,What are the most important things that are missing in your society that would make you feel more...-The ability to live without fear,QID183-15,Multiple Answer Choice Question ( up to 3),The ability to live without fear,
353,"What are the most important things that are missing in your society that would make you feel more...-The same access to opportunities as everyone (health care, education, jobs,  etc.)",QID183-16,Multiple Answer Choice Question ( up to 3),"The same access to opportunities as everyone (health care, education, jobs,  etc.)",
354,What are the most important things that are missing in your society that would make you feel more...-The ability to wear what I want,QID183-17,Multiple Answer Choice Question ( up to 3),The ability to wear what I want,
355,What are the most important things that are missing in your society that would make you feel more...-Other,QID183-18,Multiple Answer Choice Question ( up to 3),Other,
356,What are the most important things that are missing in your society that would make you feel more...-Safety of Employment,QID183-19,Multiple Answer Choice Question ( up to 3),Safety of Employment,
357,What sentiments do you have towards refugees?-Empathy,QID160-1,Multiple Answer Choice Question ( all that apply ),Empathy,
358,What sentiments do you have towards refugees?-Rejection,QID160-2,Multiple Answer Choice Question ( all that apply ),Rejection,
359,What sentiments do you have towards refugees?-They are a drain to my country,QID160-3,Multiple Answer Choice Question ( all that apply ),They are a drain to my country,
360,What sentiments do you have towards refugees?-They are a threat to security,QID160-4,Multiple Answer Choice Question ( all that apply ),They are a threat to security,
361,What sentiments do you have towards refugees?-They are a gift to a nation,QID160-5,Multiple Answer Choice Question ( all that apply ),They are a gift to a nation,
362,What sentiments do you have towards refugees?-None,QID160-6,Multiple Answer Choice Question ( all that apply ),None,
363,What sentiments do you have towards refugees?-Other,QID160-7,Multiple Answer Choice Question ( all that apply ),Other,
364,"When you see inappropriate content or behavior on social media, what do you do? -Report to administrator",QID287-1,Multiple Answer Choice Question ( all that apply ),Report to administrator,
365,"When you see inappropriate content or behavior on social media, what do you do? -Educate the responsible person",QID287-2,Multiple Answer Choice Question ( all that apply ),Educate the responsible person,
